# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Tue Mar 10 14:49:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: CLUE + GALEX (Vegamags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  CLUE_FUVmag  CLUE_LUVmag  GALEX_FUVmag  GALEX_NUVmag
0.00015547 -2.00000 6.60000 0.3361277282 2.0200770721    0.336 -0.752  3.6343  4.205    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.650 24.399 34.660 22.761 12.747
0.00015547 -2.00000 6.60000 0.3519465327 2.0465963009    0.352 -0.723  3.6381  4.211    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 6.576 23.974 33.855 22.418 12.528
0.00015547 -2.00000 6.60000 0.3651965261 2.0676438114    0.365 -0.699  3.6412  4.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.518 23.762 33.694 22.198 12.357
0.00015547 -2.00000 6.60000 0.4016221166 2.1207314881    0.401 -0.636  3.6494  4.228    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.361 23.763 35.363 21.863 11.930
0.00015547 -2.00000 6.60000 0.4393008053 2.1694334381    0.439 -0.576  3.6578  4.239    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.210 23.384 35.713 21.345 11.481
0.00015547 -2.00000 6.60000 0.4512977004 2.1838121607    0.451 -0.558  3.6603  4.243    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.96e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.164 23.229 35.636 21.172 11.343
0.00015547 -2.00000 6.60000 0.4610371292 2.1951246020    0.461 -0.543  3.6623  4.246    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 6.128 22.934 34.748 20.969 11.227
0.00015547 -2.00000 6.60000 0.5009732842 2.2384552293    0.501 -0.484  3.6701  4.254    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 5.980 21.789 31.310 20.180 10.769
0.00015547 -2.00000 6.60000 0.5335649252 2.2695676227    0.533 -0.440  3.6754  4.258    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.869 21.270 30.141 19.752 10.461
0.00015547 -2.00000 6.60000 0.5506489277 2.2841947944    0.550 -0.417  3.6780  4.259    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.812 21.010 29.555 19.537 10.305
